patent_abstract,patent_date,patent_kind,patent_number,patent_title,patent_year
"An apparatus is disclosed for displaying subscript and superscript characters on the screen of a cathode ray tube. The encoded characters are selectively read from a memory which also provides two extended level outputs relating to the subscript and superscript features. In response to the readout of a superscript character from memory, a superscript signal, at the related extended memory output, is fed to an amplifier which, in turn, drives a superscript coil positioned about the neck of the cathode ray tube. This superscript coil generates a flux which reacts with the flux generated by the tube's vertical deflection coil during readout of the selected character thereby raising the position of that character on the screen. Correspondingly, a subscript signal at the related extended memory output results in the generation of a magnetic flux which reacts the vertical deflection coil field during readout of the selected character thereby lowering the position of that character on the screen.",1976-08-24,A,3976990,Apparatus and method for offsetting selected characters of a character display,1976
"An apparatus for phonetically screening predetermined character strings. The apparatus includes a text-to-speech module, and a phonetic screening module in communication with the text-to-speech module. The phonetic screening module is for replacing a first character string with a second character string based on a phonetic enunciation by the text-to-speech module of the first character string.",2004-10-12,B2,6804650,Apparatus and method for phonetically screening predetermined character strings,2004
"An apparatus for phonetically screening predetermined character strings. The apparatus includes a text-to-speech module, and a phonetic screening module in communication with the text-to-speech module. The phonetic screening module is for replacing a first character string with a second character string based on a phonetic enunciation by the text-to-speech module of the first character string.",2008-02-26,B2,7337117,Apparatus and method for phonetically screening predetermined character strings,2008
"An apparatus for printing characters and ruled lines which includes an input device for inputting character data and lateral and longitudinal line data, a printing device for printing characters and ruled lines every page on prescribed paper, and a control device for judging whether a longitudinal line exists or not in each of the lines just before and after the boundary between two pages and giving any one of the following instructions to the printing device when the existence of a lateral line is recognized on the boundary; (i) to print a lateral line on the bottom of the foot line of the previous page when the longitudinal line exists on the last line before the boundary but not on the first line after the boundary; (ii) to print a lateral line on the upside of the first line of the following page when the longitudinal line exists on the first line after the boundary but not on the first line before the boundary; and (iii) to print a lateral line on the bottom of the foot line of the previous page and the upside of the first line of the following page when the longitudinal line exists on both of the lines just before and after the boundary, and a method of printing characters and ruled lines.",1991-03-26,A,5002408,Apparatus and method for printing character and ruled line,1991
An image processing apparatus can obtain a copy image having excellent reproducibility with a relatively simple structure of a processing unit that processes image data. The image processing apparatus generates image formation data by processing image data. A gradation processing unit binarizes the image data according to an error diffusion process so as to convert the image data into binary image data. A character/line drawing detection unit determines whether a part of the binary image data corresponds to a character/line drawing portion that consists of characters or line drawings so as to detect the character/line drawing portion. An image processing unit applies an image processing to the part of the binary image data by using an image processing method according to a result of determination of the character/line drawing detection unit.,2009-12-15,B2,7633650,Apparatus and method for processing binary image produced by error diffusion according to character or line drawing detection,2009
"An apparatus and method for processing character information to be formed on a seal, restricted size label, or other printing medium provides for recognizing character string lengths exceeding a threshold length determined from the printing medium when an instruction for development is made. The character string is divided into two lines and developed on the printing medium. The character string is divided equally, at a mode change, or into lines with the first line being longer than the second line. Over-limit characters are displayed in a different manner distinguishing from in-limit characters.",2001-05-01,A,6226094,Apparatus and method for processing character information,2001
"The apparatus recognizes line length of character strings and judges if a line is longer than a threshold length. Slewing addition control divides a character string longer than the threshold length into two lines. When the number of inputted characters exceeds that allowed in the line, that part of the character string having the number of characters allowed for the line and that part of the characters overflowing the number of characters allowed in the line are displayed in different manners. The apparatus also calculates a ratio of lengths of a pair of specific lines to one or more other pairs, determines a character-size-type based on the ratios thus obtained, determines basic character sizes of the respective lines based on the character-size-type and then determines a character size for each line based on the length information and the basic character size of each line.",2003-12-02,B1,6657738,Apparatus and method for processing character information,2003
"An apparatus and a method for providing improved character input displays in a mobile communication terminal. When the user inputs a first key, a first key number corresponding to the input key is displayed in an enlarged form on the display unit in the mobile communication terminal. Thereafter, if the user inputs a second key, then the second key number is displayed in the enlarged form of the preset magnification rate and the first key number is reduced to the original size on the display unit. The apparatus and the method enable user with poor vision to discern the last input key number from the preceding key numbers.",2009-08-25,B2,7580731,Apparatus and method for providing an improved character input display in a mobile communication terminal,2009
"An apparatus and a method for providing a character deletion function is provided. A plurality of deletion items having respective designated deletion schemes are displayed, when there is a request for a deletion mode while inputting characters. It is determined if a Drag event occurs after a Press event occurs in an area where one of the plurality of deletion items is displayed. It is determined if a Release event occurs when the Drag event occurs. A deletion function in a deletion scheme corresponding to a deletion item having an area where the Release event occurs is performed when the Release event occurs. Accordingly, a user has convenience with which, when inputting characters, the user receives various deletion schemes and can perform a desired deletion function in a simple way.",2012-12-11,B2,8332770,Apparatus and method for providing character deletion function,2012
"An apparatus and method for providing visual indication of character ambiguity and ensuing reduction of such ambiguity during text entry are described. An application text entry field is presented in a display screen, into which the user enters text by means of a reduced keyboard and a disambiguating system. The default or most likely word construct for the current key sequence may be presented at the insertion point of the text entry field. An indication of ambiguity is presented in the display screen to communicate to the user the possible ambiguous characters associated with each key. A word choice list field may also be present to display at least one word construct matching the current key sequence.",2013-11-12,B2,8583440,Apparatus and method for providing visual indication of character ambiguity during text entry,2013
"A method of recognizing a character including the steps of reading sample characters and generating an image corresponding to the sample characters. Then calculating density projections of each sample characters. A primitive characteristic vector is then extracted from each density projection. Compression then occurs so that an optimal distinction vector and a corresponding characteristic space can be determined. A character to be recognized is then read and an image corresponding to said character to be recognized is generated. A density projection is then made from the image of the character to be recognized. A primitive characteristic vector is then made from the density projection of the character to be recognized. A secondary characteristic vector is then produced by projecting the primitive characteristic vector of the character to be recognized into the compressed characteristic space. Finally one of the sample characters is outputted, based upon the secondary characteristic vector, as the recognized character.",1997-01-14,A,5594811,Apparatus and method for recognizing a character,1997
"A method and apparatus are provided for enabling a mobile terminal equipped with a camera to store document information. An image of a document picked up by the camera is displayed. In response to a document “RECOGNIZE” key input, a character image is recognized from the displayed document image and the character image is converted into character data. The character data is displayed on the first display area, and SAVE items are displayed on the second display area. A SAVE item is selected from the displayed SAVE items and character data associated with the selected SAVE item is selected, such that the selected SAVE item and the character data associated with the selected SAVE item can be displayed on the third display area. When a “CORRECT” key is input, candidate characters associated with an erroneously recognized character are displayed on the third display area. After the erroneously recognized character is corrected or replaced with a selected candidate character, a result of the correction is displayed on the third display area. When a “CONFIRM” key is input, the SAVE item and character data displayed on the third display area are stored.",2010-08-10,B2,7773808,Apparatus and method for recognizing a character image from an image screen,2010
"A character pattern is extracted from image data read from a document, listing, etc., and discriminated between a hand-written character and a typed character by a hand-written/typed character discrimination unit. The hand-written/typed character discrimination unit obtains, from the character pattern, N feature vectors containing a feature indicating at least the complexity and the linearity of the character pattern; and discriminating the character pattern between a hand-written character and a typed character using the feature vectors. A character recognition unit performs a character recognizing process based on the result of discriminating whether the character data is a hand-written character or a typed character. As a feature of the above described character pattern, the variance of line widths, the variance of character positions, etc. can also be used.",2003-11-04,B1,6643401,Apparatus and method for recognizing character,2003
"An apparatus and a method recognizes stamped characters, detects stamped depths of characters using the same, and/or accurately recognizes characters even when an image distortion occurs at stamped portion due to different stamped depths of characters.",2017-10-17,B2,9792515,Apparatus and method for recognizing stamped character and system for detecting stamped depth of character using the same,2017
"At a first step, a disc is mounted on a playback apparatus. Subsequently, at a second step, CD-TEXT data recorded in the lead-in area of the disc is read out and decoded before being stored into a memory unit. Then, the CD-TEXT data containing character information is searched for a string of characters. The second step is followed by a third step to form a judgment as to whether or not a string of characters representing address information has been found in the search. If found, then at a fourth step, the string of characters found in the search is recognized as address information and displayed in a format for a string of characters representing a URL or an electronic-mail address. As a result, CD-TEXT data can be searched for a string of characters which is recognized as address information.",2005-11-01,B2,6961903,Apparatus and method for reproducing character information recorded on a recording medium,2005
"A character string retrieval apparatus classifies a plurality of characters following a prefix of a registration character string into a plurality of groups, and registers those following characters in an array structure using a different displacement amount for each group. The character string retrieval apparatus retrieves a given character string based on the displacement amount of a group corresponding to an input character.",2003-01-14,B2,6507678,Apparatus and method for retrieving character string based on classification of character,2003
"An information searching apparatus stores, in a character-string accumulating unit, first character strings in correspondence with second character strings while classifying each of the second character strings according to an attribute thereof. The information searching apparatus further stores, in a storage unit, the attributes in correspondence with specified information each of which is specified based on at least one of the corresponding first character string and the containing document. The information searching apparatus obtains specified information based on at least one of a first character string and a document that contains the first character string and extracts, from the storage unit, the attributes. The information searching apparatus then extracts, from the character-string accumulating unit, one of the second character strings.",2012-02-14,B2,8117177,Apparatus and method for searching information based on character strings in documents,2012
"An apparatus and method for selecting and outputting characters by making a teeth clenching motion for disabled person are disclosed. The apparatus includes: an electromyogram signal obtaining unit including electromyogram sensors disposed at both sides for generating an electromyogram signal according to a predetermined muscle activated when a disabled person clenches teeth, and a ground electrode connected to a body of the disabled persons for providing a reference voltage; and an electromyogram signal processing unit for outputting a character by identifying a teeth clenching motion pattern of each block according to a side of teeth clenched, a duration of clenching teeth and consecutive clenching motions through analyzing the obtained electromyogram and selecting characters according to the identified teeth clenching motion pattern.",2009-08-25,B2,7580028,Apparatus and method for selecting and outputting character by teeth-clenching,2009
"Input according to Pin Yin notation and input according to Zhu Yin notation are allowed. Input data in the Pin Yin notation and input data in the Zhu Yin notation are respectively converted into corresponding Yin codes using a Pin Yin/Yin code conversion table and a Zhu Yin/Yin code conversion table. A dictionary stores a Chinese character code (corresponding to a word) in correspondence with an Yin code sequence. An input Yin code sequence is created from the input data. An Yin code in the input Yin code sequence and an Yin code in the Yin code sequence in the dictionary are compared with each other through a filter for masking a predetermined bit of the Yin code. A Chinese character code corresponding to Yin code sequences which coincide with each other by the comparison is read out from the dictionary, and a word (a Chinese character) corresponding to the Chinese character code is displayed.",1994-06-07,A,5319552,Apparatus and method for selectively converting a phonetic transcription of Chinese into a Chinese character from a plurality of notations,1994
"An apparatus and method is described for the separation of data from adjacent characters of standard type fonts, some of which character pairs may kern or touch. Characters which do not kern or touch are separated by white column detection. Characters which do kern are first detected by a kerning test, which consists of locating white bits which separate the characters while meeting pre-established standards of contiguity. Touching characters are detected by failure to pass the white column test, followed by failure to pass the kerning test. Characters which touch are separated by a statistical analysis, which involves determination of which of several probable vertical data columns has the least number of character bits. Following separation, the characters are compared with pre-established character patterns.",1983-04-05,A,4379282,Apparatus and method for separation of optical character recognition data,1983
"Character strings can be sorted according to the attributes of characters therein in an order suited to the significance of the characters. Dividing means divides character strings to be sorted in a database according to the attributes and creates management tables associated with the respective attributes. Attribute-dependent sorting order determining means determines sorting orders suited to the respective attributes of the management tables and sets values of sorting order indexes associated with respective character strings in the management tables. Sorting means compares the character strings of each attribute with each other, and determines a sorting order of character strings with an identical attribute in accordance with the values of the sorting order indexes, to carry out sorting.",1998-08-25,A,5799303,Apparatus and method for sorting attributes-mixed character strings,1998
"An apparatus and method for synchronizing and sharing a virtual character are provided. The method includes generating a virtual character, synchronizing content in a predetermined form with the generated virtual character; converting the virtual character into an extensible markup language (XML)-based file and storing the XML-based file.",2014-04-01,B2,8687005,Apparatus and method for synchronizing and sharing virtual character,2014
"Apparatus for teaching the usage, spelling, and meaning of words, the components of the apparatus including structural units having letters and words superimposed thereon. Each structural unit relates a word with the initial letter thereof. Moreover, the structural units provide an arrangement by which one may spell and use words alone and in phrases and sentences.",1999-01-26,A,5863204,Apparatus and method for teaching character,1999
"An apparatus for detecting a character writing area inputs a plurality of images of written documents respectively having different characters recorded thereon to an existing document. The apparatus produces a common image and a differential image, based on the input images. By using of the common image and the differential image, a character-writing-areas are detected and an attribute is set for each of the areas. A format used for the written document is produced by using of the character-writing-areas and set attributes.",2003-09-02,B1,6614929,"Apparatus and method of detecting character writing area in document, and document format generating apparatus",2003
"An ICR fuser includes a set of fusion rules for combining the outputs of multiple ICR systems. Each ICR system operates on a digital image to extract image component strings and provide a set of multiple candidate character strings and their associated confidence values. Each rule includes a test for determining whether that rule applies to the current ICR system outputs, a membership function for selecting a fused character string, and a confidence equation for assigning it a fused confidence value. The rules partition a decision space into subspaces to reduce the error rate between the fused character string and the image component string.",1999-10-19,A,5970171,Apparatus and method of fusing the outputs of multiple intelligent character recognition (ICR) systems to reduce error rate,1999
"Image processing apparatus and method perform a character recognition process to an area indicating a character string included in image data, generate layout information for layout of the character string on the basis of the area, and perform layout of a result of the character recognition process on the basis of the generated layout information, thereby enabling to perform a process, which uses the layout information, to a document which includes various layouts.",2013-12-03,B2,8600175,Apparatus and method of processing image including character string,2013
"Letters (more generally, language symbols) are entered electronically by selecting, in sequential fashion, two keys on a standard phone layout. The first key in the two-key sequence is that key on which the desired letter is displayed. The keys and the letters displayed on the keys are marked in such a way that the markings suggest the second key in the two-key sequence. The letters displayed on the keys have respective markings, such as a color, with each letter on a given key having a unique marking. The keys themselves also have markings that match the markings of the letters. In preferred embodiments, the two keys in the two-key sequence are located in the same row. Letters may be selected to spell out words on a screen and then sent electronically to a remote device or recipient.",2008-04-22,B2,7362243,Apparatus and method using color-coded or pattern-coded keys in two-key input per character text entry,2008
"Letters (more generally, language symbols) are entered electronically by selecting, in sequential fashion, two keys on a standard phone layout. The first key in the two-key sequence is that key on which the desired letter is displayed. The keys and the letters displayed on the keys are marked in such a way that the markings suggest the second key in the two-key sequence. The letters displayed on the keys have respective markings, such as a color, with each letter on a given key having a unique marking. The keys themselves also have markings that match the markings of the letters. In preferred embodiments, the two keys in the two-key sequence are located in the same row. Letters may be selected to spell out words on a screen and then sent electronically to a remote device or recipient.",2010-07-13,B2,7755520,Apparatus and method using color-coded or pattern-coded keys in two-key input per character text entry,2010
"A video signal processing apparatus and method for use with an electronic still camera or the like. An image memory is utilized which has a luminance data region for storing luminance data, a chromatic data region for storing chromatic data, a character data region for storing character data, and pattern data region(s) for storing pattern data. Character data and pattern data stored in the character data region and the pattern data regions may be combined with and/or incorporated into luminance data and chromatic data stored in the luminance data region and the chromatic data region. As a result, a dedicated ROM is not needed and information pertaining to an image photographed may be prevented from being loss. A video signal based on an image of an original photograph may be stored in original form when characters and patterns are incorporated into the image of the photograph.",2001-02-27,A,6195126,"Apparatus and method utilizing a single image memory having a luminance region for storing luminance data, a chromatic region for storing chromatic data, a character region for storing character data, and a pattern region for storing pattern data",2001
"An authentication system combines a source of ultraviolet light (and optionally a scanning mechanism) with apparatus for capturing and recognizing either graphic images or characters or both, where the graphic images and/or characters have been previously made with fluorescent substances that may be invisible under ordinary visible light, but are rendered detectable by the ultraviolet light. As in conventional optical character recognition (OCR), the characters may be conventional alphanumeric characters readable by human readers once they are made visible. The authentication system has a housing enclosing its optical path, a source of UV light, a detector for detecting graphic images or characters, conversion of the detector signal to digital form, a memory storing predetermined indicia, recognition logic, and indicating means. The system may also include a scanning mechanism and optical filters to select predetermined wavelengths of fluorescent light. The detector may be capable of detecting both fluorescent images and normal visible images, and the authentication system may incorporate switching mechanisms to allow multiplexed acquisition of fluorescent and normally visible images. The authentication system can operate in conjunction with a process for marking articles with indicia selected from a predetermined set of graphic images and characters readable by optical character recognition and/or by image comparison. That process can include printing fluorescent graphic images or characters in registration with (or with predetermined offset from) visible images or characters or indicia printed with substances fluorescent at different wavelengths. The recognition logic of the authentication system can include comparison of fluorescent and visible images or two different fluorescent images with each other. Pairs of indicia to be recognized and/or compared may be arranged to constitute a stereogram or other arrangement for first-order authentication by a human observer.",1998-02-17,A,5719948,Apparatus and methods for fluorescent imaging and optical character reading,1998
"An authentication system combines a source of ultraviolet light (and optionally a scanning mechanism) with apparatus for capturing and recognizing either graphic images or characters or both, where the graphic images and/or characters have been previously made with fluorescent substances that may be invisible under ordinary visible light, but are rendered detectable by the ultraviolet light. As in conventional optical character recognition (OCR), the characters may be conventional alphanumeric characters readable by human readers once they are made visible. The authentication system has a housing enclosing its optical path, a source of UV light, a detector for detecting graphic images or characters, conversion of the detector signal to digital form, a memory storing predetermined indicia, recognition logic, and indicating means. The system may also include a scanning mechanism and optical filters to select predetermined wavelengths of fluorescent light. The detector may be capable of detecting both fluorescent images and normal visible images, and the authentication system may incorporate switching mechanisms to allow multiplexed acquisition of fluorescent and normally visible images. The authentication system can operate in conjunction with a process for marking articles with indicia selected from a predetermined set of graphic images and characters readable by optical character recognition and/or by image comparison. That process can include printing fluorescent graphic images or characters in registration with (or with predetermined offset from) visible images or characters or indicia printed with substances fluorescent at different wavelengths. The recognition logic of the authentication system can include comparison of fluorescent and visible images or two different fluorescent images with each other. Pairs of indicia to be recognized and/or compared may be arranged to constitute a stereogram or other arrangement for first-order authentication by a human observer.",1999-02-02,A,5867586,Apparatus and methods for fluorescent imaging and optical character reading,1999
A memory access apparatus in which a data memory has a plurality of data storing areas is accessed by a CPU in accordance with a sequential access method. A window latch and an adder are provided between the memory and CPU. Addresses stored in the window latch and addresses issued by the CPU are added together to create a memory access address. The window latch is so set that a data storing area within the data memory corresponding to an inputted spelling of a word is accessible by the CPU.,1989-07-04,A,4845612,Apparatus for accessing a memory which has dedicated areas for separately storing addresses and character string data,1989
"An apparatus for aiding adding to a dictionary words which take various forms such as irregular verbs, phrasal expressions, etc. includes: a unit for obtaining the original form of a target word which a user desires to add to the dictionary; a unit for receiving variants of the target word input by the user from a prescribed input region; a manually operable input unit for editing, at a cursor position, a character string displayed on the input region; a unit for displaying the original form on the input region and positioning the cursor at a character location with the highest possibility that the original form and a variant form are different, prior to receiving the variant; and a unit for storing the original form and the variant in association with each other into a user dictionary. A language processing apparatus including such an apparatus for aiding adding to a dictionary is also disclosed. When the user inputs the original form of a word to the apparatus, the original form is displayed on the input region prior to inputting its variant form. The cursor is positioned at the character location of the original form which has the highest possibility of being different from the variant form. Thus the labor of adding various forms of the same word into the dictionary is reduced.",1995-08-15,A,5442547,Apparatus for aiding a user in producing a dictionary storing morphemes with input cursor prepositioned at character location with the highest probability of change,1995
"The present invention relates to an alignment network for aligning data words having a plurality of data word formats. A plurality of shifters are utilized, each shifter utilized to shift the corresponding bit of each character. When the output data word format is different from the input data word format, selected characters in response to a predetermined control signal are temporarily stored so that they may be inputted to the shifters on the next shift cycle in order to achieve the desired shifted character order. An alignment switch then aligns or packs the shifted data from the output of the shifters to the predetermined data format in response to a select control signal.",1986-04-15,A,4583199,Apparatus for aligning and packing a first operand into a second operand of a different character size,1986
"This invention proposes an output apparatus for storing a plurality of internal character code data for accessing character fonts corresponding to input code data and outputting a character pattern on the basis of the internal character code data, wherein input command data is identified and some of the plurality of internal character code data may be changed on the basis of a change command.",1992-09-22,A,5150460,Apparatus for character output with modification of character code array,1992
"Hand-written characters which have been turned to electronic data are input by input means, and fields of induction on the retina of the character image are calculated by field of induction estimating means. By using the fields of induction on the retina generated by the plurality of characters thus calculated, character region of each character is determined by character segmentation means, and individual characters are segmented from an array of characters. The field of induction on the retina of the segmented character is deformed to be matched with a field of induction on the retina of a character prepared in advance as a dictionary, and based on the magnitude of strain generated at the time of this deformation, difference between the fields of induction on the retina of different characters is evaluated quantitatively, and character recognition is carried out based on this estimation.",2001-12-11,A,6330358,Apparatus for character segmentation and apparatus for character recognition using the same,2001
"Disclosed is an apparatus for collecting contents using social relation characters, which includes: an input unit for receiving search information from a main user; a database for storing SNS subscriber list of the main user and related users in relation to the main user and group information in relation to friendship in an SNS; and a content managing unit for searching contents in relation to the received search information by using the group information from contents possessed by the main user and the related users in an SNS server, defining the searched contents as a first content group, calculating a first interest index for each content included in the first content group based on additional information input by the related users, and determining a predetermined content, on which interest of the related users is focused, from the searched contents based on the calculated first interest index.",2016-07-05,B2,9384513,Apparatus for collecting contents using social relation character and method thereof,2016
"A three-dimensional sign character is formed with improved circumscribing opaque metal sheet strip siding. The sign, typically having an interior light source, includes a translucent plastic face circumscribed by opaque sheet metal strip siding. The sheet metal strip siding includes a plastic strip bonded directly by gluing to a freshly abraded band on the sheet metal strip. Convolute folds are formed on either side of the sheet metal strip. One convolute fold is formed adjacent an edge of the plastic strip so as to extend angularly above and abut the plastic stripping to function as a light stop. The secured plastic strip serves as the bonding point to the translucent face of the sign. The sheet metal strip siding is particularly adaptable to continuous formation on a specialized rolling mill including the steps of preheating the strip, abrading a band on the strip, gluing over the abraded band, placing a plastic strip over the glue covered abraded band, working opposite edges of the strip with a rolling mill to produce convolute folds, registering the plastic strip to the convolute folds, and heating the strip to cure and bond the registered plastic strip to the abraded band on the sheet metal strip.",1976-08-17,A,3974552,Apparatus for constructing three-dimensional sign character,1976
"A video signal luminance control apparatus is provided, which includes an input portion for receiving a luminance signal of the video signal, a transistor with a collector receiving the input luminance signal input from the input portion, via a resistor, and a controller which is connected to the base of the transistor for outputting a control signal for controlling the on/off operation of the transistor in an area where an on-screen-display (OSD) character is displayed. A simple transistor receiving the control signal is used to control the luminance of a video signal in an area where an OSD character is displayed, thereby providing a luminance control apparatus for clearly displaying OSD characters.",1998-09-29,A,5815215,Apparatus for controlling the luminance of video signals in character areas on an on-screen-display,1998
"A data converting apparatus for converting outline data of a character into dot data including dot-forming bits each indicative of an image dot to be formed at a position of a corresponding dot-forming picture element which lies within the outline of each stroke of the character, when the character outline is superimposed on a pixel screen wherein picture elements are defined by x-axis and y-axis pixel lines perpendicular to each other. The apparatus includes a device for changing width direction data indicative of a direction of a nominal width of each stroke, if the outline data of the character are subjected to a conversion for rotation or italicization of the character as represented by the converted outline data. The width direction data is changed depending upon the specific condition of the outline data conversion, before at least one of two segments of the character outline which define the width of the stroke is moved in the direction indicated by the width direction data so that the reproduction width of the rotated or italicized character is equal to the nominal width.",1992-04-14,A,5105471,"Apparatus for converting character outline data into dot data, having means for correcting reproduction width of strokes of rotated or italicized characters",1992
"An apparatus having a dot data preparing device for converting original outline data representative of an outline of a character into dot data indicative of image dots to be formed at picture elements which lie within the character outline, when the character outline is superimposed on a coordinated pixel screen wherein the picture elements are defined by parallel x-axis pixel lines and parallel y-axis pixel lines perpendicular to the x-axis pixel lines. The apparatus includes a device for calculating a coordinate value of a maximal or minimal point of a segment of the character outline in an x-axis or y-axis direction, and an outline moving device for moving the outline such that the coordinate value of the maximal or minimal point has a predetermined positional relationship with the pixel lines. The dot data preparing device prepares the dot data, according to the outline data representative of the outline moved by the outline moving device.",1994-05-03,A,5309554,"Apparatus for converting character outline data into dot data, having means for moving outline segments",1994
"An apparatus for producing dot-matrix data from outline data defining an original outline of an image in an X-Y coordinate system, including a first transforming device transforming, according to transformation data, first interval data defining original intervals regarding the X and/or Y axis, into second interval data defining transformed intervals; a correcting device correcting the second interval data into third interval data defining corrected intervals; a determining device determining, based on the first and third interval data, a transformation function for each of at least one original interval; a second transforming device transforming original or first outline data into second outline data defining a transformed outline, the first outline data including original sets of x and y coordinates defining the original outline, the second outline data including transformed sets of x and y coordinates defining the transformed outline, the second transforming device transforming the x and/or y coordinate of at least one original set of x and y coordinates within each of at least one original interval, into the x and/or y coordinate of at least one transformed set of x and y coordinates within a corresponding one of the corrected intervals, according to the transformation function for the each original interval; and a producing device producing the dot-matrix data from the second outline data.",1995-12-05,A,5473709,Apparatus for converting character outline data into dot-matrix data for display or printing,1995
"A data converting apparatus having a memory for storing original outline data indicative of an outline of each stroke of a plurality of characters, which characters include characters each having at least one special stroke whose outline consists of ordinary segments, and a special chain of segments which defines a specific pattern. The original outline data indicative of the outline of the special stroke include ordinary segment data representative of the ordinary segments and special segment data indicative of the special chain of segments. The apparatus includes a generating device for generating a group of segment chain data representative of all the segments of the special chain of segments, based on the special segment data, and further includes a device for outputting normal outline data consisting of the ordinary segment data of the original outline data, and the group of segment chain data generated by the generating device. The special segment data preferably include data used for converting basic pattern data into the segment chain data.",1993-10-26,A,5257016,"Apparatus for converting original character outline data including abridged special segment data, into normal character outline data",1993
"The present invention relates to digital logic circuitry for detecting a predetermined character of a data string for operand data stored in a temporary storage memory or while the data is being loaded into the temporary storage memory, wherein the data string length and the starting location of temporary storage memory in which the data string is to be stored is variable. A first comparator element compares a write address pointer to a start address pointer and an adder generates a sign pointer which indicates an address of temporary storage memory of the predetermined character. A second comparator element utilizes the pointers and the resultant outputs of the first comparator and the adder to indicate the end of the data string.",1986-03-11,A,4575795,Apparatus for detecting a predetermined character of a data string,1986
"A video image is displayed on an image screen of a cathode-ray tube. The image screen is partitioned into a plurality of character areas, each character area is composed of four display blocks, and each character of the video image is displayed in one character area. Also, a plurality of pointer characters respectively arranged in a position of a font area are stored in a pointing character storing unit, positions of the pointing characters differ from each other, and the position of each pointing character corresponds to a position of one display block in one character area for each character area in cases where the font area of the pointing character corresponds to the character area. Also, a touch screen panel partitioned into a plurality of input blocks is prepared, and each input block corresponds to one display block of the image screen. When a user selects a particular input block, a particular display block of a particular character area and a particular pointing character are selected by the control circuit on condition that a position of the particular pointing character in the font area corresponds to a position of the particular display block in the particular character area, and the particular pointing character is displayed in the particular display block of the image screen. Therefore, the pointing character can be displayed in every display block of any character area.",2001-04-10,A,6215479,Apparatus for displaying image with pointing character,2001
"An apparatus for dot-matrix printing with proportional character spacing utilizes a conventional character generator for generating characters with fixed spacing in which a matrix storage area of equal size is assigned to each character, regardless of the actual width of the character, and has an advance control for a printer carriage drive for advancing the drive in increments corresponding to each single column of the storage area, the apparatus having a control unit operable in a state for generating proportional character spacing as well as in a state for generating characters with fixed spacing, and a printing control unit for operation in a state for generating proportional character spacing which executes advance increments for occupied columns in the storage areas and assigns a space advance of a predetermined width to the total of the number of empty columns between two adjacent characters in the storage areas.",1983-02-01,A,4371274,Apparatus for dot-matrix printing with proportional character spacing,1983
"An apparatus for forming a character in which picture elements as indication elements are formed in the shape of a matrix to create a character, such as a letter, a numeral, a symbol or the like, in this case the magnifications of the character in both a longitudinal and a lateral direction are suitably increased or reduced and, in case the character has become obscure as a result of such enlargement, an interpolation is performed to the character to render it clear. The apparatus is used, for example, in the case of forming a character with printer.",1978-12-12,A,4129860,Apparatus for forming a character by a matrix pattern of picture elements,1978
